event_id,ticker,start_date,end_date,duration,peak_date,peak_score,severity
NESTLEIND_1,NESTLEIND,2010-04-23,2010-04-28,4,2010-04-23,51.18824336132703,extreme_shock
BAJAJFINSV_1,BAJAJFINSV,2010-05-05,2010-06-09,26,2010-05-05,41.41858137269692,severe_shock
NESTLEIND_2,NESTLEIND,2010-05-18,2010-05-28,9,2010-05-25,44.637581986175555,severe_shock
ONGC_1,ONGC,2010-05-20,2010-05-25,4,2010-05-20,43.48280819783869,severe_shock
GRASIM_1,GRASIM,2010-05-26,2010-05-31,4,2010-05-26,52.53609416724555,extreme_shock
TECHM_1,TECHM,2010-06-03,2010-06-08,4,2010-06-03,40.031488970716296,severe_shock
MARUTI_1,MARUTI,2010-07-26,2010-07-29,4,2010-07-26,47.84033216140568,severe_shock
HEROMOTOCO_1,HEROMOTOCO,2010-07-26,2010-08-04,8,2010-07-26,43.96706358954566,severe_shock
NESTLEIND_3,NESTLEIND,2010-08-05,2010-08-10,4,2010-08-05,40.93890783336117,severe_shock
NESTLEIND_4,NESTLEIND,2010-08-26,2010-08-31,4,2010-08-26,41.94278268840869,severe_shock
ULTRACEMCO_1,ULTRACEMCO,2010-09-07,2010-09-13,4,2010-09-07,40.73640915804263,severe_shock
TECHM_2,TECHM,2010-09-22,2010-10-05,10,2010-09-22,45.09493399940213,severe_shock
APOLLOHOSP_1,APOLLOHOSP,2010-10-07,2010-10-18,8,2010-10-07,40.75191516057794,severe_shock
NESTLEIND_5,NESTLEIND,2010-11-09,2010-11-15,5,2010-11-09,52.12006780663738,extreme_shock
ADANIENT_1,ADANIENT,2010-11-26,2010-12-03,6,2010-11-26,48.596669156612684,severe_shock
NESTLEIND_6,NESTLEIND,2010-11-26,2010-12-01,4,2010-11-26,43.62877909642143,severe_shock
HEROMOTOCO_2,HEROMOTOCO,2010-12-20,2010-12-23,4,2010-12-20,43.01231851159489,severe_shock
HEROMOTOCO_3,HEROMOTOCO,2011-01-10,2011-01-13,4,2011-01-10,16.568709528114358,anomaly
BAJFINANCE_1,BAJFINANCE,2011-02-03,2011-02-08,4,2011-02-03,45.54596176764417,severe_shock
TECHM_3,TECHM,2011-02-14,2011-03-11,19,2011-02-14,48.256380280945194,severe_shock
NESTLEIND_7,NESTLEIND,2011-02-14,2011-02-17,4,2011-02-14,42.8373775538494,severe_shock
COALINDIA_1,COALINDIA,2011-02-28,2011-03-04,4,2011-02-28,42.20196229021861,severe_shock
BAJAJFINSV_2,BAJAJFINSV,2011-03-03,2011-04-04,23,2011-03-03,42.180803362321896,severe_shock
INFY_1,INFY,2011-04-15,2011-04-20,4,2011-04-15,43.43267622256374,severe_shock
SHRIRAMFIN_1,SHRIRAMFIN,2011-05-05,2011-05-11,5,2011-05-05,41.51274387106053,severe_shock
EICHERMOT_1,EICHERMOT,2011-05-09,2011-05-12,4,2011-05-09,43.77332603921046,severe_shock
NESTLEIND_8,NESTLEIND,2011-07-01,2011-08-04,25,2011-07-01,43.15239806668969,severe_shock
ADANIENT_2,ADANIENT,2011-07-29,2011-09-02,23,2011-07-29,48.72392234301761,severe_shock
JSWSTEEL_1,JSWSTEEL,2011-08-01,2011-08-08,6,2011-08-01,49.345968756781666,severe_shock
TECHM_4,TECHM,2011-08-18,2011-10-24,45,2011-08-18,46.280138684864625,severe_shock
BAJAJFINSV_3,BAJAJFINSV,2011-08-29,2011-09-06,5,2011-08-29,41.157292111585484,severe_shock
HINDALCO_1,HINDALCO,2011-10-28,2011-11-17,13,2011-10-28,46.36507661460774,severe_shock
JSWSTEEL_2,JSWSTEEL,2011-10-28,2011-11-16,12,2011-10-28,40.608583547350804,severe_shock
ADANIENT_3,ADANIENT,2011-11-15,2011-12-12,19,2011-11-15,43.29619164438777,severe_shock
APOLLOHOSP_2,APOLLOHOSP,2011-12-15,2012-01-12,21,2011-12-15,44.01554464451613,severe_shock
SHRIRAMFIN_2,SHRIRAMFIN,2012-01-05,2012-01-17,9,2012-01-05,43.385088487937516,severe_shock
ADANIENT_4,ADANIENT,2012-01-11,2012-01-31,14,2012-01-11,43.731215516370824,severe_shock
INFY_2,INFY,2012-01-12,2012-01-17,4,2012-01-12,46.52250084823122,severe_shock
MARUTI_2,MARUTI,2012-01-17,2012-01-27,8,2012-01-17,42.99503452661573,severe_shock
CANBK_1,CANBK,2012-01-24,2012-02-09,12,2012-01-24,40.29422018140536,severe_shock
ADANIENT_5,ADANIENT,2012-02-02,2012-02-15,10,2012-02-07,28.838857293526903,elevated_stress
SUNPHARMA_1,SUNPHARMA,2012-03-16,2012-03-21,4,2012-03-16,40.92772599955458,severe_shock
NESTLEIND_9,NESTLEIND,2012-03-26,2012-05-10,31,2012-04-10,41.697047190507575,severe_shock
INFY_3,INFY,2012-04-13,2012-04-18,4,2012-04-13,50.21785734873219,extreme_shock
TCS_1,TCS,2012-04-24,2012-04-27,4,2012-04-24,42.807950152637424,severe_shock
TECHM_5,TECHM,2012-05-24,2012-06-06,10,2012-05-24,42.04102171711446,severe_shock
ADANIENT_6,ADANIENT,2012-05-25,2012-05-30,4,2012-05-25,40.74542088413112,severe_shock
